S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R00011000011111011101110 | 5 | 7/16
R0001100001111101111 | 1 | 695753/640000
R00011000011111011110 | 2 | 39/160
R000110000111110111100 | 3 | 15/16
R0001100001111101111001 | 4 | 3/16
R00011000011111011110010 | 5 | 7/16
R000110000111110111100101 | 0 | 2535407/5760000
R00011000011111011111 | 2 | 39/160
R000110000111110111111 | 3 | 15/16
R0001100001111101111110 | 4 | 3/16
R00011000011111011111100 | 5 | 7/16
R0001100001111101111111 | 4 | 3/16
R00011000011111011111110 | 5 | 7/16
R000110000111110111111101 | 0 | 2535407/5760000
R000110000111111 | 3 | 7/8
R0001100001111110 | 4 | 7/40
R00011000011111100 | 5 | 3/8
R000110000111111000 | 0 | 382361/960000
R000110000111111001 | 0 | 382361/960000
R0001100001111110011 | 1 | 695753/640000
R00011000011111101 | 5 | 3/8
R000110000111111010 | 0 | 382361/960000
R000110000111111011 | 0 | 382361/960000
R0001100001111110111 | 1 | 695753/640000
R0001100001111111 | 4 | 7/40
R00011000011111110 | 5 | 3/8
R000110000111111100 | 0 | 382361/960000
R000110000111111101 | 0 | 382361/960000
R0001100001111111011 | 1 | 695753/640000
R00011000011111110111 | 2 | 127/480
R000110000111111101110 | 3 | 15/16
R0001100001111111011100 | 4 | 13/80
R00011000011111110111001 | 5 | 7/16
R0001100001111111011101 | 4 | 13/80
R00011000011111110111010 | 5 | 7/16
R00011000011111110111011 | 5 | 7/16
R000110000111111101110111 | 0 | 2535407/5760000
R00011000011111111 | 5 | 3/8
R000110000111111110 | 0 | 382361/960000
R000110000111111111 | 0 | 382361/960000
R0001100001111111111 | 1 | 695753/640000
