S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
24776817/24154330 | 26/25 | D0:Nlo | 31364958
26/25 | 1381653/1298470 | D0:Nlo | 53382270
1381653/1298470 | 2171169/2030810 | D0:Nhi | 11230419
2171169/2030810 | 585461020385569695101/545886129986638606575 | JD1 | 7635190
585461020385569695101/545886129986638606575 |
  317869013480432513512107050417910103400201/2962818417984058946465723793177982438
  89075 | JD1 | 819244
317869013480432513512107050417910103400201/296281841798405894646572379317798243889
  075 | 14562412399050381767727/13568848223239242377525 | D0:Nhi | 808355
14562412399050381767727/13568848223239242377525 |
  12560890304314208040746879533026451267481553/11688352795498188983313525599432195
  618038475 | D0:Nlo | 3178075
12560890304314208040746879533026451267481553/1168835279549818898331352559943219561
  8038475 | 1007014129303360327011/936347871429037339825 | JD1 | 1840317
1007014129303360327011/936347871429037339825 |
  254458489097834967780847958622460074842609/2364140392823693864763350411114630322
  61675 | JD1 | 1918970
254458489097834967780847958622460074842609/236414039282369386476335041111463032261
  675 | 271883557140997253586813/252195623851145605172975 | D0:Nlo | 3845311
271883557140997253586813/252195623851145605172975 | 27/25 | JD0 | 4067752
27/25 | 4655412/4269005 | JD0 | 20960753
4655412/4269005 | 29/25 | JD0 | 120144763
Cell sum 994246493.
Leaf R0001101001110101010110111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2171169/2611130 | J0 | 207164150
2171169/2611130 | 103493726966801/121617322556300 | J0 | 40493457
103493726966801/121617322556300 | 15198183/17053910 | 0:Nlo | 87347582
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 101356481/110441275 | 0:Nhi | 41627654
101356481/110441275 | 6513507/6859630 | J0 | 81864973
6513507/6859630 | 180965291/188639825 | J0 | 25917126
180965291/188639825 | 533/550 | J1 | 26202909
533/550 | 1081207592416846704013/1065805220127994669950 | JD1 | 114469401
1081207592416846704013/1065805220127994669950 | 61005451/58782590 | D0:Nhi |
  50254049
61005451/58782590 | 26/25 | D0:Nlo | 4270431
26/25 | 460551/441590 | D0:Nlo | 5735331
460551/441590 |
  38651162123594272524962668868919789266689/36317987426521034089590856360110915987
  675 | D0:Nhi | 43908593
38651162123594272524962668868919789266689/3631798742652103408959085636011091598767
  5 | 585461020385569695101/545886129986638606575 | JD1 | 18123210
585461020385569695101/545886129986638606575 |
  11635004385226199767939854260327929755563/10833556399843584733347387584570305329
  225 | JD1 | 3234170
11635004385226199767939854260327929755563/1083355639984358473334738758457030532922
  5 | 533584555745569695101/496145432386638606575 | D0:Nhi | 2966557
533584555745569695101/496145432386638606575 | 27/25 | D0:Nlo | 8805074
27/25 | 22001659/20212350 | D0:Nlo | 16012353
22001659/20212350 | 1827831/1629290 | JD0 | 58687168
1827831/1629290 | 29/25 | JD0 | 58968369
Cell sum 973298433.
Leaf R000110100111010101011100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237769
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 224021851156629990407/219601226253981818925 | J1 | 175222933
224021851156629990407/219601226253981818925 | 26/25 | D0:Nhi | 45604992
26/25 | 2171169/2030810 | D0:Nhi | 65255110
2171169/2030810 |
  109085548853863279213672082826490734293470551/1017589353114071767862778060186783
  83605065325 | 1:A | 6876085
109085548853863279213672082826490734293470551/101758935311407176786277806018678383
  605065325 | 471844363109142598334991/437968650362094998458325 | D0:Nhi |
  10727134
471844363109142598334991/437968650362094998458325 | 27/25 | D0:Nlo | 4510875
27/25 | 29/25 | D0:Nlo | 115804656
Cell sum 987294191.
Leaf R000110100111010101011101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2171169/2611130 | J0 | 207164150
2171169/2611130 | 3529942033963/4109996953900 | J0 | 57709791
3529942033963/4109996953900 | 15198183/17053910 | 0:Nlo | 70220922
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 3251867719021/3489167689300 | 0:Nhi | 78600315
3251867719021/3489167689300 | 2171169/2270810 | J0 | 64701873
2171169/2270810 | 550251593/567702500 | J0 | 36531073
550251593/567702500 | 224021851156629990407/219601226253981818925 | J1 | 137116942
224021851156629990407/219601226253981818925 | 30851817/29779330 | D0:Nhi |
  37431812
30851817/29779330 | 26/25 | D0:Nlo | 8728705
26/25 | 197576379/188493710 | D0:Nlo | 17963754
197576379/188493710 | 1435619067939707369584138791/1351104708365798658342290900 |
  D0:Nhi | 32592378
1435619067939707369584138791/1351104708365798658342290900 |
  12404347480885181822437251190298494032607839/11568886330718426875410908393394131
  511673925 | 1:A | 23079914
12404347480885181822437251190298494032607839/1156888633071842687541090839339413151
  1673925 | 14562412399050381767727/13568848223239242377525 | D0:Nhi | 2282490
14562412399050381767727/13568848223239242377525 |
  464529475530152747928061241916680984920532253/4307372608658523438062103633990340
  97148640975 | D0:Nlo | 11624239
464529475530152747928061241916680984920532253/430737260865852343806210363399034097
  148640975 | 27/25 | JD0 | 3232622
27/25 | 6538662/6012755 | JD0 | 14874408
6538662/6012755 | 29/25 | JD0 | 116662311
Cell sum 997763575.
Leaf R000110100111010101011110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237769
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 233339929168367/233466331951100 | J1 | 121414842
233339929168367/233466331951100 | 26/25 | D0:Nhi | 91985655
26/25 | 585461020385569695101/545886129986638606575 | D0:Nhi | 67756726
585461020385569695101/545886129986638606575 |
  471844363109142598334991/437968650362094998458325 | D0:Nhi | 9581031
471844363109142598334991/437968650362094998458325 | 27/25 | D0:Nlo | 4510875
27/25 | 29/25 | D0:Nlo | 121656275
Cell sum 980197810.
Leaf R0001101001110101010111110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/479030 | B1 | 47712278
310167/479030 | 2171169/2633210 | J0 | 201820678
2171169/2633210 | 552173871249/645981710410 | J0 | 61315474
552173871249/645981710410 | 15198183/17072470 | 0:Nlo | 75581567
15198183/17072470 | 9/10 | 0:Nhi | 21038391
9/10 | 3251867719021/3489167689300 | 0:Nhi | 78600315
3251867719021/3489167689300 | 2171169/2270810 | J0 | 64701873
2171169/2270810 | 533/550 | J0 | 36053904
533/550 | 3158831/3229190 | JD0 | 25447870
3158831/3229190 | 233339929168367/233466331951100 | JD0 | 57535606
233339929168367/233466331951100 | 24776817/24154330 | D0:Nhi | 63507513
24776817/24154330 | 26/25 | D0:Nlo | 31364957
26/25 | 1381653/1298470 | D0:Nlo | 53382269
1381653/1298470 | 585461020385569695101/545886129986638606575 | D0:Nhi | 18919396
585461020385569695101/545886129986638606575 |
  14562412399050381767727/13568848223239242377525 | D0:Nhi | 1633956
14562412399050381767727/13568848223239242377525 |
  464529475530152747928061241916680984920532253/4307372608658523438062103633990340
  97148640975 | D0:Nlo | 11624239
464529475530152747928061241916680984920532253/430737260865852343806210363399034097
  148640975 | 27/25 | JD0 | 3232622
27/25 | 4655412/4269005 | JD0 | 20960753
4655412/4269005 | 29/25 | JD0 | 120144762
Cell sum 994578423.
Leaf R0001101001110101010111111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2171169/2611130 | J0 | 207164150
2171169/2611130 | 103493726966801/121617322556300 | J0 | 40493457
103493726966801/121617322556300 | 15198183/17053910 | 0:Nlo | 87347582
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 6343587/6859630 | 0:Nhi | 59440682
6343587/6859630 | 6513507/6859630 | J0 | 64114499
6513507/6859630 | 180965291/188639825 | J0 | 25917126
180965291/188639825 | 23882859/24085310 | J1 | 84430360
23882859/24085310 | 101356481/100441275 | JD0 | 43743287
101356481/100441275 | 61005451/58782590 | D0:Nhi | 63156267
61005451/58782590 | 26/25 | D0:Nlo | 4270430
26/25 | 460551/441590 | D0:Nlo | 5735330
460551/441590 | 585461020385569695101/545886129986638606575 | D0:Nhi | 62317445
585461020385569695101/545886129986638606575 |
  533584555745569695101/496145432386638606575 | D0:Nhi | 6202984
533584555745569695101/496145432386638606575 | 27/25 | D0:Nlo | 8805072
27/25 | 22001659/20212350 | D0:Nlo | 16012353
22001659/20212350 | 1827831/1629290 | JD0 | 58687167
1827831/1629290 | 29/25 | JD0 | 58968369
Cell sum 974052436.
Leaf R0001101001110101011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 21038682034497/27358903021900 | J0 | 79502305
21038682034497/27358903021900 | 15198183/17026070 | 0:Nlo | 247571980
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 2171169/2359130 | 0:Nhi | 48069840
2171169/2359130 | 1897213993156608/1878690257678425 | J1 | 211998828
1897213993156608/1878690257678425 | 2171169/2107130 | 1:A | 46922197
2171169/2107130 | 26/25 | D0:Nhi | 20843225
26/25 | 67138441755487854124767634189323/62993722973969905347340501491850 | D0:Nhi
  | 57115913
67138441755487854124767634189323/62993722973969905347340501491850 |
  403463106765870606/376069473902498825 | 1:A | 16676902
403463106765870606/376069473902498825 |
  91564266077038592400007937221451163/85242250558275213549383623492446100 | JD0 |
  3114727
91564266077038592400007937221451163/85242250558275213549383623492446100 |
  1805949906862837743/1673713488369453350 | D0:Nhi | 9423344
1805949906862837743/1673713488369453350 | 27/25 | D0:Nlo | 1657432
27/25 | 29/25 | D0:Nlo | 127940803
Cell sum 966167758.
Leaf R000110100111010110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105251
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 452/475 | 0:Nhi | 134997049
452/475 | 2171169/2270810 | J1 | 13591141
2171169/2270810 | 26/25 | D0:Nhi | 193576975
26/25 | 115275173361677316/107210057031573325 | D0:Nhi | 67441702
115275173361677316/107210057031573325 | 27/25 | D0:Nhi | 8598830
27/25 | 29/25 | D0:Nhi | 127384851
Cell sum 968026061.
Leaf R000110100111010111000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 148240592453/195785250900 | J0 | 84189693
148240592453/195785250900 | 15198183/17053910 | 0:Nlo | 253038477
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 2171169/2345810 | 0:Nhi | 61497038
2171169/2345810 | 5595858698549/5775964191700 | J1 | 110308045
5595858698549/5775964191700 | 13826817/13841830 | D0:Nhi | 69186292
13826817/13841830 | 26/25 | D0:Nlo | 90269743
26/25 | 115275173361677316/107210057031573325 | D0:Nlo | 78536354
115275173361677316/107210057031573325 | 27/25 | D0:Nlo | 10589758
Cell sum 834861276.
Leaf R000110100111010111001: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2462953018359/3239356392700 | J0 | 88360192
2462953018359/3239356392700 | 15198183/17053910 | 0:Nlo | 248859381
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 2171169/2345810 | 0:Nhi | 61497037
2171169/2345810 | 104036646/105756775 | J1 | 151073203
104036646/105756775 | 18701817/18529330 | D0:Nhi | 59644599
18701817/18529330 | 26/25 | D0:Nlo | 67551101
26/25 | 22832979795037218108939/21263959069478905656425 | D0:Nlo | 75335608
22832979795037218108939/21263959069478905656425 | 27/25 | D0:Nlo | 13632008
Cell sum 843199005.
Leaf R000110100111010111011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 452/475 | 0:Nhi | 134997050
452/475 | 2171169/2270810 | J0 | 13561614
2171169/2270810 | 18701817/18529330 | D0:Nhi | 135341360
18701817/18529330 | 26/25 | D0:Nlo | 67551102
26/25 | 22832979795037218108939/21263959069478905656425 | D0:Nlo | 75335611
22832979795037218108939/21263959069478905656425 | 27/25 | D0:Nlo | 13632009
Cell sum 854883305.
Leaf R0001101001110101111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 21038682034497/27358903021900 | J0 | 79502305
21038682034497/27358903021900 | 15198183/17026070 | 0:Nlo | 247571980
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 2171169/2359130 | 0:Nhi | 48069840
2171169/2359130 | 129237447/129553325 | J1 | 183584415
129237447/129553325 | 26/25 | D0:Nhi | 85544566
26/25 | 115275173361677316/107210057031573325 | D0:Nhi | 67997591
115275173361677316/107210057031573325 | 1805949906862837743/1673713488369453350 |
  D0:Nhi | 7097587
1805949906862837743/1673713488369453350 | 27/25 | D0:Nlo | 1657432
27/25 | 5598183/5053910 | D0:Nlo | 45416175
5598183/5053910 | 29/25 | D0:Nhi | 85689971
Cell sum 947462124.
Leaf R000110100111011000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105250
15198183/17026070 | 9/10 | 0:Nhi | 15949936
9/10 | 2171169/2270810 | 0:Nhi | 149058112
2171169/2270810 | 64403638/65511575 | J1 | 82398612
64403638/65511575 | 124/125 | J1 | 25559920
124/125 | 56496362/56363425 | JD1 | 28539252
56496362/56363425 | 708440018/688127325 | JD1 | 68442675
708440018/688127325 | 26/25 | D0:Nhi | 23135355
26/25 | 2882691477666/2711946720215 | D0:Nhi | 50161301
2882691477666/2711946720215 | 359528637802938892714881/336212486854573048810075 |
  JD1 | 14727098
359528637802938892714881/336212486854573048810075 |
  317116685329568487735489848016710169363985311/2962486081711609164314991645091439
  64225912325 | JD1 | 2522035
317116685329568487735489848016710169363985311/296248608171160916431499164509143964
  225912325 | 27/25 | D0:Nhi | 16813652
27/25 | 6836817/6060580 | D0:Nhi | 53756197
6836817/6060580 | 29/25 | D0:Nlo | 27892880
Cell sum 965442602.
Leaf R00011010011101100100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2462953018359/3239356392700 | J0 | 88360192
2462953018359/3239356392700 | 15198183/17053910 | 0:Nlo | 248859381
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 2171169/2345810 | 0:Nhi | 61497037
2171169/2345810 | 4954126/5131275 | J1 | 107104657
4954126/5131275 | 124/125 | J1 | 68275003
124/125 | 7445874/7368725 | JD1 | 45693329
7445874/7368725 | 2574072546428883/2495416257653900 | JD1 | 49486990
2574072546428883/2495416257653900 | 40601817/39154330 | D0:Nhi | 12284183
40601817/39154330 | 26/25 | D0:Nlo | 6639790
26/25 | 197576379/188493710 | D0:Nlo | 17963751
197576379/188493710 | 27656049061764530208837/26266252834967157600775 | D0:Nhi |
  10442432
27656049061764530208837/26266252834967157600775 |
  359528637802938892714881/336212486854573048810075 | JD1 | 37727176
359528637802938892714881/336212486854573048810075 |
  339824292438648725253561764710614489363985311/3174859117672287468136712200371119
  64225912325 | JD1 | 2335265
339824292438648725253561764710614489363985311/317485911767228746813671220037111964
  225912325 | 25292427641604530208837/23607534236567157600775 | D0:Nhi | 2282573
25292427641604530208837/23607534236567157600775 | 27/25 | D0:Nlo | 18707625
27/25 | 738794397461718/659746825979825 | D0:Nlo | 70927958
738794397461718/659746825979825 | 29/25 | JD0 | 55988661
Cell sum 981821879.
Leaf R0001101001110110010100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237768
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 57697025197591/59505735850300 | J0 | 41487749
57697025197591/59505735850300 | 64403638/65511575 | J1 | 40190374
64403638/65511575 | 1358/1375 | J1 | 13140278
1358/1375 | 220434422/221383675 | JD1 | 22593186
220434422/221383675 | 26/25 | JD1 | 105964218
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 59751858
359528637802938892714881/336212486854573048810075 | 27/25 | JD1 | 20249600
27/25 | 15164663440598/13397052911825 | JD1 | 85918774
15164663440598/13397052911825 | 29/25 | JD0 | 37462848
Cell sum 990051290.
Leaf R00011010011101100101010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237768
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 64403638/67136575 | J0 | 9654977
64403638/67136575 | 1358/1375 | J1 | 84400893
1358/1375 | 606375094/590845475 | JD1 | 100203357
606375094/590845475 | 800905374519926/775765156730025 | JD1 | 14232848
800905374519926/775765156730025 | 35726817/34466830 | D0:Nhi | 9240100
35726817/34466830 | 26/25 | D0:Nlo | 7542283
26/25 | 197576379/188493710 | D0:Nlo | 17963753
197576379/188493710 | 193210914/183182225 | JD1 | 14270074
193210914/183182225 | 359528637802938892714881/336212486854573048810075 | JD1 |
  31318448
359528637802938892714881/336212486854573048810075 |
  24327637343518130208837/22706849798807157600775 | JD1 | 4287385
24327637343518130208837/22706849798807157600775 |
  25055727406884530208837/23223029212967157600775 | JD1 | 15587565
25055727406884530208837/23223029212967157600775 | 27/25 | D0:Nlo | 2167850
27/25 | 48687866/44068525 | D0:Nlo | 45042120
48687866/44068525 | 29/25 | JD0 | 72343103
Cell sum 991547161.
Leaf R00011010011101100101011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237768
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 64403638/67136575 | J0 | 9654977
64403638/67136575 | 1196/1225 | J1 | 51652989
1196/1225 | 441843844/438501725 | JD1 | 85927337
441843844/438501725 | 193210914/190034725 | JD1 | 22735734
193210914/190034725 | 29651817/28841830 | D0:Nhi | 26060161
29651817/28841830 | 26/25 | D0:Nlo | 26277548
26/25 | 2477063/2323450 | JD1 | 56429356
2477063/2323450 | 27656049061764530208837/25828852834967157600775 | JD1 | 9786855
27656049061764530208837/25828852834967157600775 |
  24327637343518130208837/22706849798807157600775 | JD1 | 1339206
24327637343518130208837/22706849798807157600775 |
  25055727406884530208837/23223029212967157600775 | JD1 | 15587565
25055727406884530208837/23223029212967157600775 | 27/25 | D0:Nlo | 2167850
27/25 | 14862378/13393825 | D0:Nlo | 54245391
14862378/13393825 | 29/25 | JD0 | 72659472
Cell sum 997816846.
Leaf R000110100111011001011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237768
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 57697025197591/59505735850300 | J0 | 41487749
57697025197591/59505735850300 | 64403638/65511575 | J1 | 40190374
64403638/65511575 | 124/125 | J1 | 25559920
124/125 | 56496362/56363425 | JD1 | 28539253
56496362/56363425 | 708440018/688127325 | JD1 | 68442677
708440018/688127325 | 40601817/39154330 | D0:Nhi | 17027033
40601817/39154330 | 26/25 | D0:Nlo | 6639790
26/25 | 197576379/188493710 | D0:Nlo | 17963752
197576379/188493710 | 3260422159662547406022111/3106691807094951301872325 | D0:Nhi
  | 2841221
3260422159662547406022111/3106691807094951301872325 |
  6055069725087588039755349/5673592441747766703477175 | JD1 | 38863206
6055069725087588039755349/5673592441747766703477175 |
  2106950877824709210099619474861596034128901713861/195755907970731810335729615998
  6148628934168253575 | JD1 | 19335372
2106950877824709210099619474861596034128901713861/19575590797073181033572961599861
  48628934168253575 | 27/25 | D0:Nlo | 7341198
27/25 | 45887866/41881025 | D0:Nlo | 27818399
45887866/41881025 | 29/25 | JD0 | 83228826
Cell sum 988571175.
Leaf R0001101001110110011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 7945942797/10196338130 | J0 | 94878779
7945942797/10196338130 | 15198183/17026070 | 0:Nlo | 232168221
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 505693485297/542394655690 | 0:Nhi | 79440593
505693485297/542394655690 | 2171169/2299130 | J0 | 33586590
2171169/2299130 | 63745799749632/65649883526765 | J0 | 75991055
63745799749632/65649883526765 | 2139683/2193876 | J1 | 12029004
2139683/2193876 | 124/125 | J1 | 45080233
124/125 | 82089631/81163332 | JD1 | 48556290
82089631/81163332 | 4606896593/4436033400 | JD1 | 60497851
4606896593/4436033400 | 26/25 | D0:Nhi | 3091297
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 61776705
359528637802938892714881/336212486854573048810075 |
  38635788484487118899601/36034227346376961944075 | JD1 | 6063259
38635788484487118899601/36034227346376961944075 |
  24701522286564530208837/22950972730967157600775 | D0:Nhi | 7588085
24701522286564530208837/22950972730967157600775 | 27/25 | D0:Nlo | 6275130
27/25 | 29/25 | D0:Nlo | 114289297
Cell sum 976642651.
Leaf R000110100111011010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105250
15198183/17026070 | 9/10 | 0:Nhi | 15949936
9/10 | 2171169/2270810 | 0:Nhi | 149058112
2171169/2270810 | 97/100 | J1 | 43414930
97/100 | 1466331/1479190 | JD1 | 62035962
1466331/1479190 | 26/25 | D0:Nhi | 108719611
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nhi | 61004548
359528637802938892714881/335337686854573048810075 | 27/25 | D0:Nhi | 13135451
27/25 | 29/25 | D0:Nhi | 95292119
Cell sum 955096246.
Leaf R00011010011101101100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2462953018359/3239356392700 | J0 | 88360192
2462953018359/3239356392700 | 15198183/17053910 | 0:Nlo | 248859381
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 2171169/2345810 | 0:Nhi | 61497037
2171169/2345810 | 4954126/5131275 | J1 | 107104657
4954126/5131275 | 97/100 | J1 | 11784126
97/100 | 4745874/4868725 | JD1 | 12318534
4745874/4868725 | 44587134/44181475 | JD1 | 85168530
44587134/44181475 | 28451817/27904330 | D0:Nhi | 23705953
28451817/27904330 | 26/25 | D0:Nlo | 44933595
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nlo | 71663464
359528637802938892714881/335337686854573048810075 | 27/25 | D0:Nlo | 17006502
Cell sum 849647847.
Leaf R00011010011101101101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237768
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 43738547/45416200 | J0 | 21207465
43738547/45416200 | 97/100 | J1 | 21425323
97/100 | 98283481087874488857/98893072552758683930 | JD1 | 69027215
98283481087874488857/98893072552758683930 | 28451817/27904330 | D0:Nhi | 63053264
28451817/27904330 | 26/25 | D0:Nlo | 44933595
26/25 | 4954126/4731275 | D0:Nlo | 15713747
4954126/4731275 | 359528637802938892714881/335337686854573048810075 | JD1 |
  54518443
359528637802938892714881/335337686854573048810075 |
  154881090837292947084898924819890224734453629/1436837986912926508612185322583323
  19198568175 | JD1 | 12245159
154881090837292947084898924819890224734453629/143683798691292650861218532258332319
  198568175 | 27/25 | D0:Nlo | 4213255
Cell sum 869629871.
Leaf R0001101001110110111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 7945942797/10196338130 | J0 | 94878779
7945942797/10196338130 | 15198183/17026070 | 0:Nlo | 232168221
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 505693485297/542394655690 | 0:Nhi | 79440593
505693485297/542394655690 | 2171169/2299130 | J0 | 33586590
2171169/2299130 | 97/100 | J0 | 73120733
97/100 | 92006369/91216668 | JD1 | 100381274
92006369/91216668 | 26/25 | D0:Nhi | 64322909
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nhi | 61513377
359528637802938892714881/335337686854573048810075 |
  24701522286564530208837/22950972730967157600775 | D0:Nhi | 7708419
24701522286564530208837/22950972730967157600775 | 27/25 | D0:Nlo | 6275130
27/25 | 29/25 | D0:Nlo | 125175136
Cell sum 973901423.
Leaf R000110100111011100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105250
15198183/17026070 | 9/10 | 0:Nhi | 15949936
9/10 | 2171169/2270810 | 0:Nhi | 149058114
2171169/2270810 | 2478831/2416690 | J1 | 195340600
2478831/2416690 | 26/25 | D0:Nhi | 32394867
26/25 | 359528637802938892714881/336212486854573048810075 | D0:Nhi | 65265642
359528637802938892714881/336212486854573048810075 | 27/25 | D0:Nhi | 19363394
27/25 | 6836817/6060580 | D0:Nhi | 53756197
6836817/6060580 | 29/25 | D0:Nlo | 27892880
Cell sum 965507207.
Leaf R00011010011101110100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2462953018359/3239356392700 | J0 | 88360192
2462953018359/3239356392700 | 15198183/17053910 | 0:Nlo | 248859381
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 2171169/2345810 | 0:Nhi | 61497037
2171169/2345810 | 5501331/5388565 | J1 | 243980259
5501331/5388565 | 1309083961393152/1281733198213175 | 1:Q | 1013549
1309083961393152/1281733198213175 | 654541980696576/640866599036275 | J1 | 2
654541980696576/640866599036275 | 163486158/159332075 | 1:A | 11615477
163486158/159332075 | 40601817/39154330 | D0:Nhi | 25496864
40601817/39154330 | 26/25 | D0:Nlo | 6639792
26/25 | 197576379/188493710 | D0:Nlo | 17963751
197576379/188493710 | 359528637802938892714881/336212486854573048810075 | D0:Nhi |
  48919054
359528637802938892714881/336212486854573048810075 |
  25292427641604530208837/23607534236567157600775 | D0:Nhi | 4690472
25292427641604530208837/23607534236567157600775 | 27/25 | D0:Nlo | 18707625
