Exact cubic-plus-plane whole-source convex certificate. Every number is rational; all feasible vertices are included.

| bin | b lower | b upper | initial gamma | A_C | normalized capacity upper | pieces |
|---|---|---|---|---|---|---|
|6|45415912500/71059201967|1601/2500|19267031/100000000|18703117/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|1601/2500|3227/5000|18703117/100000000|828469/5000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|3227/5000|813/1250|828469/5000000|2913463/20000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|813/1250|3277/5000|2913463/20000000|12696923/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|3277/5000|1651/2500|12696923/100000000|10958203/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|1651/2500|38446143750/58044652021|10958203/100000000|2578573/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|6|38446143750/58044652021|3327/5000|2578573/25000000|9554187/100000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|6|
|6|3327/5000|419/625|9554187/100000000|8723617/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|419/625|3377/5000|8723617/100000000|793081/10000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|3377/5000|1701/2500|793081/10000000|1793941/25000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|1701/2500|3427/5000|1793941/25000000|6458481/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|3427/5000|863/1250|6458481/100000000|2889479/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|863/1250|3477/5000|2889479/50000000|2568599/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|3477/5000|1751/2500|2568599/50000000|4533199/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|6|1751/2500|58006462500/82793594567|4533199/100000000|2254017/50000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|6|58006462500/82793594567|3527/5000|0|0|None|None|0|
|6|3527/5000|444/625|0|0|None|None|0|
|6|444/625|3577/5000|0|0|None|None|0|
|6|3577/5000|18/25|0|0|None|None|0|
|7|2993/5000|1509/2500|60281/156250|19583849/50000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|7|1509/2500|97801593750/160868144567|19583849/50000000|19842041/50000000|[3, 3, (1, 4)]|[3, 3, (1, 3)]|32|
|7|97801593750/160868144567|3043/5000|19842041/50000000|610367/1562500|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|7|3043/5000|767/1250|610367/1562500|3437479/10000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|7|767/1250|3093/5000|3437479/10000000|119943/400000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|7|3093/5000|1559/2500|119943/400000|1618523/6250000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|7|1559/2500|3143/5000|1618523/6250000|22106643/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|7|3143/5000|396/625|22106643/100000000|162553/800000|[3, 3, (3, 4)]|[3, 0, (3, 4)]|26|
|7|396/625|219435300000/345793305293|162553/800000|20321233/100000000|[3, 0, (3, 4)]|[4, 0, (3, 4)]|26|
|7|219435300000/345793305293|80039925000/125344807067|20321233/100000000|20457309/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|7|80039925000/125344807067|3193/5000|20457309/100000000|20437501/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
|7|3193/5000|1609/2500|20437501/100000000|18150433/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
|7|1609/2500|47439393750/73590451967|18150433/100000000|1769169/10000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
|7|47439393750/73590451967|3243/5000|1769169/10000000|3200109/20000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|7|3243/5000|817/1250|3200109/20000000|13987837/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|7|817/1250|3293/5000|13987837/100000000|3028077/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
