Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|4|5395950000/7930486003|6833/10000|8574417/100000000|8058637/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|6833/10000|6883/10000|8058637/100000000|7206803/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|6883/10000|6933/10000|7206803/100000000|1601181/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|6933/10000|6983/10000|1601181/25000000|5652399/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|6983/10000|7033/10000|5652399/100000000|2474533/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|7033/10000|7083/10000|2474533/50000000|4292561/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|7083/10000|7133/10000|4292561/100000000|3682751/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|7133/10000|7183/10000|3682751/100000000|3119637/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|7183/10000|18/25|3119637/100000000|45919/1562500|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|597/1000|301/500|37358279/100000000|18993333/50000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|5|301/500|607/1000|18993333/50000000|19310147/50000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|5|607/1000|1975303125/3248584583|19310147/50000000|4844259/12500000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|5|1975303125/3248584583|28906875000/47301762653|4844259/12500000|19074833/50000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|5|28906875000/47301762653|153/250|19074833/50000000|18499857/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|5|153/250|617/1000|18499857/50000000|30831793/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|5|617/1000|311/500|30831793/100000000|25238407/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|5|311/500|627/1000|25238407/100000000|20219557/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|5|627/1000|79/125|20219557/100000000|15775243/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|5|79/125|637/1000|15775243/100000000|6494881/50000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|5|637/1000|321/500|6494881/50000000|11663947/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|5|321/500|947503125/1467407183|11663947/100000000|2682699/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|5|947503125/1467407183|647/1000|2682699/25000000|10412173/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|5|647/1000|163/250|10412173/100000000|288571/3125000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|5|163/250|657/1000|288571/3125000|8127779/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|5|657/1000|331/500|8127779/100000000|3545937/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|5|331/500|1589878125/2386388858|3545937/50000000|6271071/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|5|1589878125/2386388858|667/1000|6271071/100000000|6126559/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|667/1000|84/125|6126559/100000000|5231833/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|84/125|677/1000|5231833/100000000|4407697/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|677/1000|341/500|4407697/100000000|3654149/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|341/500|687/1000|3654149/100000000|2971191/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|687/1000|173/250|2971191/100000000|1179411/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|173/250|697/1000|1179411/50000000|908521/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|697/1000|351/500|908521/50000000|336463/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|5|351/500|1204453125/1706884583|336463/25000000|523453/50000000|[4, 1, (3, 4)]|[4, 1, (2, 3)]|3|
|5|1204453125/1706884583|707/1000|0|0|None|None|0|
|5|707/1000|89/125|0|0|None|None|0|
|5|89/125|717/1000|0|0|None|None|0|
|5|717/1000|18/25|0|0|None|None|0|
|6|3003/5000|757/1250|9345193/25000000|19002877/50000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|6|757/1250|3053/5000|19002877/50000000|9658979/25000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|6|3053/5000|14164368750/23161967081|9658979/25000000|7750883/20000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|6|14164368750/23161967081|105221025000/171268964623|7750883/20000000|38364363/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|6|105221025000/171268964623|1539/2500|38364363/100000000|7363847/20000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|6|1539/2500|3103/5000|7363847/20000000|1236363/4000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|6|3103/5000|391/625|1236363/4000000|25522693/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|6|391/625|3153/5000|25522693/100000000|2066009/10000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
