| id | d | E | m | mu | B | r | upper lines (slope,intercept) |
| 27 | 3 | 7 | 11 | 16 | 1/11 | 278/125 | (278/125,0) |
| 28 | 4 | 4 | 1 | 0 | 4 | 1 | (1,757/1000); (5/4,161/500); (5/3,9/200); (7/4,0) |
| 29 | 4 | 5 | 2 | 1 | 3 | 119/100 | (119/100,287/500); (5/4,121/250); (3/2,1/4); (2,0) |
| 30 | 4 | 5 | 3 | 3 | 2 | 1317/1000 | (1317/1000,171/500); (3/2,1/4); (2,0) |
| 31 | 4 | 5 | 4 | 6 | 1 | 283/200 | (283/200,293/1000); (3/2,1/4); (2,0) |
| 32 | 4 | 6 | 3 | 2 | 8/3 | 1317/1000 | (5/4,373/500); (1317/1000,71/125); (3/2,81/250); (5/3,229/1000); (7/4,39/200); (2,19/200); (5/2,0) |
| 33 | 4 | 6 | 4 | 4 | 2 | 283/200 | (283/200,379/1000); (3/2,59/200); (2,19/200); (5/2,0) |
| 34 | 4 | 6 | 5 | 6 | 8/5 | 187/125 | (5/4,69/100); (187/125,297/1000); (3/2,59/200); (2,19/200); (5/2,0) |
| 35 | 4 | 6 | 6 | 8 | 4/3 | 783/500 | (5/4,69/100); (783/500,269/1000); (7/4,39/200); (2,19/200); (5/2,0) |
| 36 | 4 | 6 | 7 | 11 | 6/7 | 1627/1000 | (1627/1000,61/250); (2,19/200); (5/2,0) |
| 37 | 4 | 6 | 8 | 14 | 1/2 | 841/500 | (841/500,111/500); (2,19/200); (5/2,0) |
| 38 | 4 | 6 | 9 | 17 | 2/9 | 1733/1000 | (1733/1000,14/125); (2,53/1000); (5/2,0) |
| 39 | 4 | 7 | 4 | 3 | 5/2 | 283/200 | (283/200,29/50); (5/3,133/500); (7/4,117/500); (2,3/20); (5/2,0) |
| 40 | 4 | 7 | 5 | 5 | 2 | 187/125 | (187/125,17/40); (3/2,421/1000); (5/3,131/500); (2,3/20); (5/2,0) |
| 41 | 4 | 7 | 6 | 7 | 5/3 | 783/500 | (783/500,331/1000); (5/3,131/500); (2,3/20); (5/2,0) |
| 42 | 4 | 7 | 7 | 9 | 10/7 | 1627/1000 | (5/4,813/1000); (3/2,57/125); (1627/1000,11/40); (2,3/20); (5/2,0) |
| 43 | 4 | 7 | 8 | 11 | 5/4 | 841/500 | (841/500,32/125); (2,3/20); (5/2,0) |
| 44 | 4 | 7 | 9 | 13 | 10/9 | 1733/1000 | (1733/1000,239/1000); (2,3/20); (5/2,0) |
| 45 | 4 | 7 | 10 | 15 | 1 | 1779/1000 | (5/3,42/125); (1779/1000,28/125); (2,3/20); (5/2,0) |
| 46 | 4 | 7 | 11 | 18 | 8/11 | 911/500 | (7/4,131/500); (911/500,21/100); (2,3/20); (5/2,0) |
| 47 | 4 | 7 | 12 | 21 | 1/2 | 931/500 | (931/500,49/250); (2,3/20); (5/2,0) |
| 48 | 4 | 7 | 13 | 24 | 4/13 | 1899/1000 | (1899/1000,17/100); (2,139/1000); (5/2,0) |
| 49 | 4 | 7 | 14 | 27 | 1/7 | 387/200 | (7/4,1/10); (387/200,37/500); (2,13/200); (5/2,0) |
| 50 | 5 | 5 | 1 | 0 | 5 | 1 | (1,143/125); (5/4,103/200); (3/2,1/4); (2,0) |
