FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
4.1.4 | 2 | 4 | 37/208 | 1/2 | 2 | 4 | 41099/100000 | 49099/100000 | 1110151135
4.1.5 | 2 | 4 | 37/208 | 1/2 | 4 | 8 | 41099/100000 | 49099/100000 | 1047497658
4.2.1 | 2 | 4 | 1/2 | 1 | 1609/5400 | 1/2 | 41099/100000 | 49099/100000 | 675736225
4.2.2 | 2 | 4 | 1/2 | 1 | 1/2 | 1 | 41099/100000 | 49099/100000 | 1920305371
4.2.3 | 2 | 4 | 1/2 | 1 | 1 | 2 | 41099/100000 | 49099/100000 | 2580337884
4.2.4 | 2 | 4 | 1/2 | 1 | 2 | 4 | 41099/100000 | 49099/100000 | 2592857279
4.2.5 | 2 | 4 | 1/2 | 1 | 4 | 8 | 41099/100000 | 49099/100000 | 2526405044
4.3.1 | 2 | 4 | 1 | 2 | 1609/5400 | 1/2 | 41099/100000 | 49099/100000 | 675736225
4.3.2 | 2 | 4 | 1 | 2 | 1/2 | 1 | 41099/100000 | 49099/100000 | 1920305371
4.3.3 | 2 | 4 | 1 | 2 | 1 | 2 | 41099/100000 | 49099/100000 | 5794736942
4.3.4 | 2 | 4 | 1 | 2 | 2 | 4 | 41099/100000 | 49099/100000 | 5800772804
4.3.5 | 2 | 4 | 1 | 2 | 4 | 8 | 41099/100000 | 49099/100000 | 5731120257
4.4.1 | 2 | 4 | 2 | 4 | 1609/5400 | 1/2 | 41099/100000 | 49099/100000 | 649333049
